Step 1,Step 2,Step 3,Step 4,Link,Size,t,Path,Min or Max,Month/Year
,Exsisting Customers,Discount,Qualified/Booked,link,10,-4.25,90,Max,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-4.5,91,Max,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-4.75,92,Max,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-5,93,Max,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-5.25,94,Max,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-5.5,95,Max,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-5.75,96,Max,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-6,97,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-6,0,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-5.75,1,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-5.5,2,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-5.25,3,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-5,4,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-4.75,5,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-4.5,6,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-4.25,7,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-4,8,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-3.75,9,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-3.5,10,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-3.25,11,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-3,12,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-2.75,13,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-2.5,14,Min,Month
